Starting Inheritance SGA Optimization
Feature count range: 30 -> 10

=== Current Feature Count: 30 ===
  Gen 580 | Best MCC: 0.6783
  Gen 590 | Best MCC: 0.6783
  Gen 600 | Best MCC: 0.6783
  Gen 610 | Best MCC: 0.6783
  Gen 620 | Best MCC: 0.6783
  Gen 630 | Best MCC: 0.6783
  Gen 640 | Best MCC: 0.6783
  Gen 650 | Best MCC: 0.6783
  Gen 660 | Best MCC: 0.6783
  Gen 670 | Best MCC: 0.6783
  Gen 680 | Best MCC: 0.6783
  Gen 690 | Best MCC: 0.6783
  Gen 700 | Best MCC: 0.6783
  Gen 710 | Best MCC: 0.6783
  Gen 720 | Best MCC: 0.6783
  Gen 730 | Best MCC: 0.6783
  Gen 740 | Best MCC: 0.6783
  Gen 750 | Best MCC: 0.6783
  Gen 760 | Best MCC: 0.6783
  Gen 770 | Best MCC: 0.6783
  Gen 780 | Best MCC: 0.6783
  Gen 790 | Best MCC: 0.6783
  Gen 800 | Best MCC: 0.6783
  Gen 810 | Best MCC: 0.6783
  Gen 820 | Best MCC: 0.6783
  Gen 830 | Best MCC: 0.6783
  Gen 840 | Best MCC: 0.6783
  Gen 850 | Best MCC: 0.6783
  Gen 860 | Best MCC: 0.6783
  Gen 870 | Best MCC: 0.6783
  Gen 880 | Best MCC: 0.6783
  Gen 890 | Best MCC: 0.6783
  Gen 900 | Best MCC: 0.6783
  Gen 910 | Best MCC: 0.6783
  Gen 920 | Best MCC: 0.6783
  Gen 930 | Best MCC: 0.6783
  Gen 940 | Best MCC: 0.6783
  Gen 950 | Best MCC: 0.6783
  Gen 960 | Best MCC: 0.6783
  Gen 970 | Best MCC: 0.6783
  Gen 980 | Best MCC: 0.6783
  Gen 990 | Best MCC: 0.6783
  Gen 1000 | Best MCC: 0.6783

=== Current Feature Count: 25 ===
  Gen 10 | Best MCC: 0.6626
  Gen 20 | Best MCC: 0.6626
  Gen 30 | Best MCC: 0.6626
  Gen 40 | Best MCC: 0.6626
  Gen 50 | Best MCC: 0.6626
  Gen 60 | Best MCC: 0.6626
  Gen 70 | Best MCC: 0.6626
  Gen 80 | Best MCC: 0.6626
  Gen 90 | Best MCC: 0.6626
  Gen 100 | Best MCC: 0.6800
  Gen 110 | Best MCC: 0.6800
  Gen 120 | Best MCC: 0.6800
  Gen 130 | Best MCC: 0.6800
  Gen 140 | Best MCC: 0.6800
  Gen 150 | Best MCC: 0.6800
  Gen 160 | Best MCC: 0.6800
  Gen 170 | Best MCC: 0.6800
  Gen 180 | Best MCC: 0.6800
  Gen 190 | Best MCC: 0.6800
  Gen 200 | Best MCC: 0.6800
  Gen 210 | Best MCC: 0.6800
  Gen 220 | Best MCC: 0.6800
