logFC,AveExpr,t,P.Value,adj.P.Val,B
X267_.hsa.mir.19a,-2.24018315922034,7.35771473739423,-9.92585378702545,5.46118542119904e-21,2.76582616492984e-20,36.4433345714061
X264_.hsa.mir.199a.1,-1.50015844650802,7.59113138998798,-9.92374433826874,5.55543154732587e-21,2.78362580722392e-20,36.4263852225695
X268_.hsa.mir.19b.1,-1.76256422866028,8.82567356074519,-9.82975682003774,1.18806311446545e-20,5.89029186224449e-20,35.6734672134422
X219_.hsa.mir.16.2,-1.01666901438728,10.1419405020721,-9.73684298893036,2.50795117652863e-20,1.23046354598436e-19,34.9335502207188
X507_.hsa.mir.3609,-1.43997139134281,1.51339109274038,-9.71921847762913,2.88839553955155e-20,1.4025095867307e-19,34.79369611558
X216_.hsa.mir.15a,-1.39116852148896,9.95212491985577,-9.70883445773645,3.1388010031542e-20,1.50854619641391e-19,34.7113715865228
X218_.hsa.mir.16.1,-1.01469012295234,10.1119412929591,-9.70238694342303,3.30499703135509e-20,1.57237737552348e-19,34.6602836328564
X1107_.hsa.mir.497,-1.24493633949244,1.01272972962981,-9.70022944791216,3.36253694695466e-20,1.58375490201565e-19,34.6431931437569
X327_.hsa.mir.26b,-1.14939042982259,10.6123879118678,-9.69251510429899,3.57652601305542e-20,1.66786510113773e-19,34.5821040164192
X1378_.hsa.mir.579,-0.953481543020684,1.6156297496274,-9.62044511265047,6.35550396247887e-20,2.92006647184261e-19,34.0128777812002
X1753_.hsa.mir.758,-2.17833076161281,1.59814420654567,-9.61984940584735,6.38570799574923e-20,2.92006647184261e-19,34.008183994409
X25_.hsa.mir.107,0.830261985166486,7.1941077949976,9.50120861437164,1.63574265032133e-19,7.40802681058986e-19,33.0770789429035
X499_.hsa.mir.34a,1.96995202849709,5.8420944377524,9.45455169816053,2.36319325509439e-19,1.06006097442806e-18,32.7129473334665
X337_.hsa.mir.29a,-1.37702973091662,12.2451529074784,-9.42582072490613,2.96242929313135e-19,1.31632471421214e-18,32.4892947898324
X23_.hsa.mir.106a,-1.73360762465035,5.61349421984856,-9.34580443688449,5.54628823310582e-19,2.44140351195593e-18,31.8687520165293
X594_.hsa.mir.374b,-1.28668895849308,7.4328112359399,-9.32899897986582,6.3243713089509e-19,2.75812859862581e-18,31.7388610297581
X287_.hsa.mir.210,-2.29845468722334,6.13707249305048,-9.30546329474988,7.59899559609845e-19,3.28360268418566e-18,31.5572088539502
X513_.hsa.mir.3614,-1.44012863173866,3.12871470975962,-9.28777302408332,8.72180897926228e-19,3.73452002657503e-18,31.4208707257296
